Nhóm chức năng,Chức năng,Câu hỏi mẫu,Yêu cầu dữ liệu,Contex phụ
Trạng thái hiện tại,Truy vấn AQI cơ bản,AQI quận Cầu Giấy bây giờ?,Thời điểm lần cuối cập nhật lưới 1km^2 (timestamp) ,Vị trí hiện tại người hỏi
,,"Tôi ở Hồ Tây, so với Linh Đàm chỗ nào sạch hơn?",Phân loại màu sắc + ý nghĩa,"Hoạt động đang làm (làm việc, di chuyển)"
,,Tình hình PM2.5/PM10 hôm nay có vượt ngưỡng WHO không?,Phân loại (Tốt / Trung bình / Kém / Xấu / Rất xấu / Nguy hại),"Thời gian muốn (giờ hiện tại, ngay lúc này)"
,,Có điểm quan trắc gần chỗ tôi không?,Giá trị AQI (số),
,,Tôi thấy màu đỏ trên Heatmap là gì ?,"Chỉ số chính gây ô nhiễm (PM2.5, PM10, O3, NO2, SO2, CO)",
,,Mức độ ô nhiễm hiện tại ở Hà Nội ?,Nồng độ từng chất ô nhiễm,
,,AQI Hà Nội hiện tại là bao nhiêu ?,Dữ liệu trạm giờ (map từ station -> quận),
,,Thời điểm cập nhật cuối ?,,
,So sánh không gian,Khu nào ở Hà Nội có không khí tốt nhất hiện nay ?,Xếp hạng các quận huyện theo AQI,
,,Đâu là nơi ô nhiễm nhất Hà Nội lúc này ?,Chênh lệch AQI giữa các khu vực (ví dụ: Cao hơn 25 điểm),
,,Cầu Giấy so với Dịch Vọng khu nào sạch hơn ?,Bản đồ nhiệt (heatmap) phân bố AQI,
,,Nội thành và ngoại thành khác nhau như thế nào ?,"Top 5 khu vực tốt nhât, xấu nhất",
,,"Gần công viên, hồ có khác biệt không ?",,
,Truy vấn theo hoạt động ,Có nên chạy bộ ngoài trời không ?,Khuyến cáo cụ thể cho hoạt động (có/không nên/hạn chế),
,,Tôi có thể đạp xe ở Cầu Giấy an toàn không ?,Lý do (dựa trên AQI và nhóm nhạy cảm),
,,Trẻ em có nên ra sân chơi không ?,Biện pháp phòng tránh nếu cần thiết,
,,Mở cửa sổ bây giờ có được không ?,Thời điểm thay thế (ví dụ: nên vào buổi sáng sớm hơn),
,,Đeo khẩu trang có cần thiết không ?,,
Dự báo,Dự báo ngắn hạn (1-3 ngày),Ngày mai không khí Hà Nội như thế nào ?,"AQI dự báo theo ngày, theo khung giờ nếu có ?",
,,3 ngày tới thì AQI ở quận Nam Từ Liêm có cải thiện không ?,Xu hướng (tăng / giảm / ổn định),
,,Cuối tuần này có nên đi chơi ở quân Ba Đình không ?,Độ tin cậy của dự báo,
,,Không khí chiều tối nay có xấu đi không ?,So sánh với hôm nay,
,,"Mai tôi đi chạy bộ, nên chọn lúc nào ?",,
,,Ngày nào trong tuần có AQI dưới 100 ?,,
,Dự báo trung hạn (4-7 ngày),"Tuần tới, không khí Hà Nội có xu hướng gì ?",Biểu đồ AQI 7 ngày.,
,,"7 ngày tới, có ngày nào AQI > 150 không ?",Ngày tốt nhất / xấu nhất,
,,Ngày nào trong tuần thì phù hợp với hoạt động ngoài trời ?,Cảnh báo các ngày vượt ngưỡng nguy hiểm,
,,Ngày nào trong tuần thì AQI dưới 100 ?,,
,,Tuần sau nên lên lịch chạy marathon vào ngày nào ở công viên Cầu Giấy ?,"Xu hướng tổng thể (cải thiện, xấu đi)",
,Theo điều kiện thời tiết,Nếu mai mưa thì AQI thay đổi ra sao ?,Tương quan giữa thời tiết và AQI,
,,Gió Tây Nam có giúp cải thiện không khí không ?,"Giải thích tác động (mưa rửa trôi, gió khuếch tán, nghịch nhiệt....)",
,,Ngày nắng ấm AQI thường thế nào ?,"Dự báo thời tiết đi kèm (nhiệt độ, gió mưa, độ ẩm...)",
,,Nếu mưa thì PM2.5 giảm bao nhiêu điểm ?,,
,,Mùa đông thì Hà Nội ô nhiễm hơn mùa hè phải không ? ,,
Trend Analysis,Xu hướng theo thời gian,Tuần này so với AQI tuần trước thế nào ?,So sánh theo tuần / tháng / năm ,
,,Tháng 11 này có tệ hơn năm ngoái ?,Biểu đồ xu hướng lịch sử,
,,Hà Nội thường ô nhiễm nhất vào tháng mấy ?,Thống kê số ngày vượt ngưỡng,
,,Có bao nhiêu ngày vượt ngưỡng 150 AQI trong tháng ?,Mùa ô nhiễm cao điểm,
,Xu hướng theo địa điểm,Trong tuần tới thì quận Cầu Giấy có xu hướng ô nhiễm hơn không ?,So sánh lịch sử giữa các khu vực,
,,Vùng nào tại Hà Nội đang cải thiện nhiều nhất ?,"Yếu tố địa lý ảnh hưởng (gần đường, công nghiệp, cây xanh...)",
,,Gần đường lớn so với khu dân cư có khác biệt ra sao,"Xu hướng cải thiện, xấu đi theo khu vực",
,,Nhà tôi gần công viên Cầu Giấy thì có đỡ ô nhiễm không khí hơn so với nơi khác không ?,,
,,Khu công nghiệp có ảnh hưởng đến ô nhiễm không khí tại Hà Nội không ?,,
,Xu hướng theo giờ trong ngày,Giờ nào trong ngày thì không khí tốt nhất ?,Biểu đồ AQI trung bình theo giờ,
,,Giờ cao điểm giao thông AQI thế nào ?,"Giờ cao điểm ô nhiễm (thường 7-9h sáng, 17-19h chiều)",
,,Snag sớm và chiều tối khác việt ra sao ?,"Giờ tốt nhất (thường 5-6h sáng, sau 22h)",
,,Nên tập thể dục vào khung giờ nào ?,"Giải thích nguyên nhân (giao thông, hoạt động sản xuất....)",
Nhóm nguyên nhân & giải thích,Nguyên nhân ô nhiễm,Vì sao hôm nay AQI cao ?,"Nguồn ô nhiễm chính (giao thống 60%, công nghiệp 20%, xây dựng 15%)",
,,Tại sao quận Ba Đình ô nhiễm hơn quận Cầu Giấy ?,"yếu tố khí tượng (nghịch nhiệt, gió yếu, không mưa....)",
,,Nguyên nhân chính gây ô nhiễm ở Hà Nội là gì ?,"Yếu tố địa hình (lưu vực, chắn gió ....)",
,,Giao thông đóng góp bao nhiêu phần trăm gây ô nhiễm ?,"Hoạt động đặc thù (đốt rơm rạ, sương mù....)",
,Giải thích biến động ,Vì sao chiều nay AQI tăng đột ngột ?,Giải thích hiện tượng cụ thể,
,,Vì sao cuối tuần nay không khí lại tốt hơn ?,"Tác động của thời tiết (mưa rửa trôi PM2.5, khó khuếch tán...)",
,,Mưa có giúp giảm ô nhiễm không khí không ?,Tác động của con người (giảm giao thông cuối tuần),
,,"Tại sao mùa đông, Hà Nội lại ô nhiễm hơn ?","Hiện tượng nghịch nhiệt, sương mù....",
,So với các thành phố khác ,Hà Nội so với Bangkok/Dehi/Bắc Kinh thế nào ?,"Xếp hạng thế giới, khu vực",
,,Thành phố Hồ Chí Minh có có sạch hơn Hà Nội không ?,So sánh số liệu với các thành phố lớn,
,,Hà Nội xếp thứ mấy trong các thành phố ô nhiễm nhất ?,Nguyên nhân chênh lệch,
Nhóm khuyến cáo sức khỏe,Khuyến cáo theo nhóm đối tượng ,Trẻ em nên làm gì khi AQI > 150 ?,"Khuyến cáo chi tiết theo từng nhóm (trẻ em < 12 tuổi, phụ nữ > 65 tuổi, phụ nữ mang thai, người hô hấp tim mạch, người khỏe mạnh....)",
,,Người già có bệnh tim có nên ra ngoài thì AQI > 150 ?,,
,,Phụ nữ mang thai nên chú ý điều gì khi AQI > 150 ?,Ngưỡng AQI cần hạn chế hoạt động ,
,,Người bị bệnh hen suyễn cần phòng tránh thế nào ?,Triệu chứng cần chú ý,
,,Người khỏe có bị ảnh hưởng khi AQI 100 không ?,,
,Khuyến cao hoạt động ,AQI bao nhiêu thì nên hạn chế ra ngoài ?,Ngưỡng AQI cho từng hoạt động,
,,Có nên tập thể dục trong nhà không ?,Khuyến cáo thiết bị bảo vệ,
,,Đeo khẩu rang loại nào hiệu quả ?,Biện pháp trong nhà,
,,Có nên dùng máy lọc không khí không ?,,
,,Nên đóng/mở cửa sổ khi nào ?,,
,Tác động sức khỏe,AQI cao có tác động gì đến sức khỏe ?,"Tác động ngắn hạn (kích ứng, mắt, họng, khó thở ...)",
,,Hít thở không khí ô nhiễm lâu dài có hại ra sao ?,"Tác động dài hạn (bệnh phổi, tim mạch, ung thư...)",
